smiles,ox
CCC(C#N)CC,7.711084843
CCC(C#N)CC(C#N)CC,7.856399651
CCC(C#N)CC(C#N)CC(C#N)CC,7.929190908
CCC(C#N)CC(C#N)CC(C#N)CC(C#N)CC,7.953498471
CCC(C#N)CC(C#N)CC(C#N)CC(C#N)CC(C#N)CC,7.988956884
CCC(C#N)CC(C#N)CC(C#N)CC(C#N)CC(C#N)CC(C#N)CC,8.021053493
CCCCCC(=O)OCC,7.135981347
CCCC(=O)OCCCCCC(=O)OCC,7.268821986
CCOC(=O)CCCCCOC(=O)CCCCCOC(=O)CC,7.333804551
CCOC(=O)CCCCCOC(=O)CCCCCOC(=O)CCCCCOC(=O)CC,7.255450413
CCOC(=O)CCCCCOC(=O)CCCCCOC(=O)CCCCCOC(=O)CCCCCOC(=O)CC,7.536393424
CCOC(=O)CCCCCOC(=O)CCCCCOC(=O)CCCCCOC(=O)CCCCCOC(=O)CCCCCOC(=O)CC,7.327974237
CCOC(=O)OCC,7.783938142
CCOC(=O)OCCOC(=O)OCC,7.831599481
CCOC(=O)OCCOC(=O)OCCOC(=O)OCC,7.880246199
CCOC(=O)OCCOC(=O)OCCOC(=O)OCCOC(=O)OCC,7.892767252
CCOC(=O)OCCOC(=O)OCCOC(=O)OCCOC(=O)OCCOC(=O)OCC,7.867293572
CCOC(=O)OCCOC(=O)OCCOC(=O)OCCOC(=O)OCCOC(=O)OCCOC(=O)OCC,7.878284257
CCNCC,5.157952544
CCNCCNCC,4.843236893
CCNCCNCCNCC,5.401819641
CCNCCNCCNCCNCC,5.470607067
CCNCCNCCNCCNCCNCC,5.489328892
CCNCCNCCNCCNCCNCCNCC,5.533178865
CCOCC,6.639575695
CCOCCOCC,6.124261794
CCOCCOCCOCC,6.192088821
CCOCCOCCOCCOCC,6.552535189
CCOCCOCCOCCOCCOCC,6.623035844
CCOCCOCCOCCOCCOCCOCC,6.641555243
CCCOC(=O)OCC,7.425922651
CCOC(=O)OCCCOC(=O)OCC,7.791608737
CCOC(=O)OCCCOC(=O)OCCCOC(=O)OCC,7.767076435
CCOC(=O)OCCCOC(=O)OCCCOC(=O)OCCCOC(=O)OCC,7.931432475
CCOC(=O)OCCCOC(=O)OCCCOC(=O)OCCCOC(=O)OCCCOC(=O)OCC,7.768602178
CCOC(=O)OCCCOC(=O)OCCCOC(=O)OCCCOC(=O)OCCCOC(=O)OCCCOC(=O)OCC,7.677783314
CCC(CC)O,6.669550304
CCC(CC(CC)O)O,6.657678161
CCC(CC(CC(CC)O)O)O,6.565767521
